population,foreign_born,median_income,year,state_fips,county_fips,black_afam,unemp_rate,snap_benefits,health_insurance_rate,vacant_housing_rate,rental_vacancy_rate,renter_occupied_rate,median_home_price,median_rent,disaster_number,state,declaration_date,incident_type,disaster_name,incident_begin_date,incident_end_date,total_approved_ihp,total_approved_ha,total_approved_ona,total_obligated_pa,total_obligated_c2g,total_obligated_hmgp,aid_requested,aid_obligated,total_approved,total_obligated,aid_per_capita
229869,6.422353601399057,41280.0,2017,36,091,2.0,2.0,7.3,97.7,8.7,4.4,29.2,258600,1052,4322.0,NY,2017-07-12T08:00:00.000Z,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14T14:11:00.000Z,2017-03-15T23:59:00.000Z,0.0,0.0,0.0,27115094.2,5762971.26,406514.0,0.0,0.0,0.0,33284579.46,0.0
155565,9.680840806093915,29630.0,2017,36,093,11.2,6.2,13.4,96.4,29.7,1.4,30.4,164400,885,4322.0,NY,2017-07-12T08:00:00.000Z,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14T14:11:00.000Z,2017-03-15T23:59:00.000Z,0.0,0.0,0.0,27115094.2,5762971.26,406514.0,0.0,0.0,0.0,33284579.46,0.0
155565,9.680840806093915,29630.0,2017,36,093,11.2,6.2,13.4,96.4,29.7,1.4,30.4,164400,885,4322.0,NY,2017-07-12T08:00:00.000Z,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14T14:11:00.000Z,2017-03-15T23:59:00.000Z,0.0,0.0,0.0,27115094.2,5762971.26,406514.0,0.0,0.0,0.0,33284579.46,0.0
1492953,15.758701044172188,38558.0,2017,36,103,8.3,2.5,6.4,95.5,16.3,6.2,19.1,394600,1697,4322.0,NY,2017-07-12T08:00:00.000Z,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14T14:11:00.000Z,2017-03-15T23:59:00.000Z,0.0,0.0,0.0,27115094.2,5762971.26,406514.0,0.0,0.0,0.0,33284579.46,0.0
75485,11.252566735112936,27231.0,2017,36,105,10.0,5.9,15.7,96.2,48.9,14.2,34.2,177500,826,4322.0,NY,2017-07-12T08:00:00.000Z,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14T14:11:00.000Z,2017-03-15T23:59:00.000Z,0.0,0.0,0.0,27115094.2,5762971.26,406514.0,0.0,0.0,0.0,33284579.46,0.0
104802,13.895727180778994,25000.0,2017,36,109,3.6,1.9,10.1,95.9,7.4,1.1,44.7,205300,1120,4322.0,NY,2017-07-12T08:00:00.000Z,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14T14:11:00.000Z,2017-03-15T23:59:00.000Z,0.0,0.0,0.0,27115094.2,5762971.26,406514.0,0.0,0.0,0.0,33284579.46,0.0
179417,8.19933451122246,30715.0,2017,36,111,5.7,3.2,12.2,93.8,19.2,3.8,29.9,233000,1077,4322.0,NY,2017-07-12T08:00:00.000Z,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14T14:11:00.000Z,2017-03-15T23:59:00.000Z,0.0,0.0,0.0,27115094.2,5762971.26,406514.0,0.0,0.0,0.0,33284579.46,0.0
162660,8.529447928193779,25323.0,2017,42,027,4.1,2.3,7.5,96.0,12.1,7.0,37.6,232300,920,4292.0,PA,2016-12-02T09:46:00.000Z,Flood,SEVERE STORMS AND FLOODING,2016-10-20T00:00:00.000Z,2016-10-21T14:27:00.000Z,0.0,0.0,0.0,26993171.0,24739109.82,3242795.67,521689.68999999994,521689.68999999994,0.0,54975076.49,3.2072401942702564
113841,2.048471113219315,25801.0,2017,42,081,5.0,2.8,15.5,94.0,13.7,12.3,31.3,160800,754,4292.0,PA,2016-12-02T09:46:00.000Z,Flood,SEVERE STORMS AND FLOODING,2016-10-20T00:00:00.000Z,2016-10-21T14:27:00.000Z,0.0,0.0,0.0,26993171.0,24739109.82,3242795.67,0.0,0.0,0.0,54975076.49,0.0
113841,2.048471113219315,25801.0,2017,42,081,5.0,2.8,15.5,94.0,13.7,12.3,31.3,160800,754,4292.0,PA,2016-12-02T09:46:00.000Z,Flood,SEVERE STORMS AND FLOODING,2016-10-20T00:00:00.000Z,2016-10-21T14:27:00.000Z,0.0,0.0,0.0,26993171.0,24739109.82,3242795.67,0.0,0.0,0.0,54975076.49,0.0
168179,4.614131371931098,27009.0,2017,45,003,24.9,4.5,10.8,89.4,11.5,4.9,28.6,144600,757,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,5304428.57,5304428.57,0.0,0.0,31.54037406572759
168179,4.614131371931098,27009.0,2017,45,003,24.9,4.5,10.8,89.4,11.5,4.9,28.6,144600,757,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,5304428.57,5304428.57,0.0,0.0,31.54037406572759
198759,2.736982979387097,25652.0,2017,45,007,16.5,2.5,13.4,88.6,13.0,3.3,28.3,142600,738,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198759,2.736982979387097,25652.0,2017,45,007,16.5,2.5,13.4,88.6,13.0,3.3,28.3,142600,738,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,12004.44,12004.44,0.0,0.0,0.060396963156385375
198759,2.736982979387097,25652.0,2017,45,007,16.5,2.5,13.4,88.6,13.0,3.3,28.3,142600,738,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,104054720.13,104054720.13,0.0,0.0,523.522055001283
198759,2.736982979387097,25652.0,2017,45,007,16.5,2.5,13.4,88.6,13.0,3.3,28.3,142600,738,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198759,2.736982979387097,25652.0,2017,45,007,16.5,2.5,13.4,88.6,13.0,3.3,28.3,142600,738,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,12004.44,12004.44,0.0,0.0,0.060396963156385375
198759,2.736982979387097,25652.0,2017,45,007,16.5,2.5,13.4,88.6,13.0,3.3,28.3,142600,738,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,104054720.13,104054720.13,0.0,0.0,523.522055001283
186844,6.576074158121213,28548.0,2017,45,013,19.5,3.3,4.9,87.1,31.1,9.1,28.7,305300,1091,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,0.26760292008306397
186844,6.576074158121213,28548.0,2017,45,013,19.5,3.3,4.9,87.1,31.1,9.1,28.7,305300,1091,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,0.26760292008306397
186844,6.576074158121213,28548.0,2017,45,013,19.5,3.3,4.9,87.1,31.1,9.1,28.7,305300,1091,4286.0,SC,2016-10-11T14:30:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z,2016-10-30T00:00:00.000Z,39700862.51,32647472.31,7053390.2,246757916.47,73749820.81,27904049.27,50000.0,50000.0,79401725.02,348411786.54999995,0.26760292008306397
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,14254274.56,14254274.56,0.0,0.0,65.40548213474537
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,10334611.98,10334611.98,0.0,0.0,47.420180969729785
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,104962.65,93055.98999999999,0.0,0.0,0.48161922941033414
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,93513298.7,93513298.7,0.0,0.0,429.08408714445
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,14254274.56,14254274.56,0.0,0.0,65.40548213474537
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,10334611.98,10334611.98,0.0,0.0,47.420180969729785
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,104962.65,93055.98999999999,0.0,0.0,0.48161922941033414
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,93513298.7,93513298.7,0.0,0.0,429.08408714445
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,4286.0,SC,2016-10-11T14:30:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z,2016-10-30T00:00:00.000Z,39700862.51,32647472.31,7053390.2,246757916.47,73749820.81,27904049.27,14254274.56,14254274.56,79401725.02,348411786.54999995,65.40548213474537
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,4286.0,SC,2016-10-11T14:30:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z,2016-10-30T00:00:00.000Z,39700862.51,32647472.31,7053390.2,246757916.47,73749820.81,27904049.27,10334611.98,10334611.98,79401725.02,348411786.54999995,47.420180969729785
