year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2000,ALABAMA,AL,AUTAUGA,01001,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11993.0,17208.0,20191203,TOTAL
2000,ALABAMA,AL,BALDWIN,01003,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,40872.0,56480.0,20191203,TOTAL
2000,ALABAMA,AL,BARBOUR,01005,PRESIDENT,AL GORE,DEMOCRAT,5188.0,10395.0,20191203,TOTAL
2000,ALABAMA,AL,BIBB,01007,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4273.0,7101.0,20191203,TOTAL
2000,ALABAMA,AL,BLOUNT,01009,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12667.0,17973.0,20191203,TOTAL
2000,ALABAMA,AL,BULLOCK,01011,PRESIDENT,AL GORE,DEMOCRAT,3395.0,4904.0,20191203,TOTAL
2000,ALABAMA,AL,BUTLER,01013,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4127.0,7803.0,20191203,TOTAL
2000,ALABAMA,AL,CALHOUN,01015,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22306.0,38909.0,20191203,TOTAL
2000,ALABAMA,AL,CHAMBERS,01017,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6037.0,11834.0,20191203,TOTAL
2000,ALABAMA,AL,CHEROKEE,01019,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4154.0,7823.0,20191203,TOTAL
2000,ALABAMA,AL,CHILTON,01021,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10066.0,15092.0,20191203,TOTAL
2000,ALABAMA,AL,CHOCTAW,01023,PRESIDENT,AL GORE,DEMOCRAT,3707.0,7374.0,20191203,TOTAL
2000,ALABAMA,AL,CLARKE,01025,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5988.0,10752.0,20191203,TOTAL
2000,ALABAMA,AL,CLAY,01027,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3719.0,5883.0,20191203,TOTAL
2000,ALABAMA,AL,CLEBURNE,01029,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3333.0,5092.0,20191203,TOTAL
2000,ALABAMA,AL,COFFEE,01031,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9938.0,15434.0,20191203,TOTAL
2000,ALABAMA,AL,COLBERT,01033,PRESIDENT,AL GORE,DEMOCRAT,10543.0,21532.0,20191203,TOTAL
2000,ALABAMA,AL,CONECUH,01035,PRESIDENT,AL GORE,DEMOCRAT,2783.0,5551.0,20191203,TOTAL
2000,ALABAMA,AL,COOSA,01037,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2382.0,4567.0,20191203,TOTAL
2000,ALABAMA,AL,COVINGTON,01039,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8961.0,13613.0,20191203,TOTAL
2000,ALABAMA,AL,CRENSHAW,01041,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2793.0,4795.0,20191203,TOTAL
2000,ALABAMA,AL,CULLMAN,01043,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19157.0,29525.0,20191203,TOTAL
2000,ALABAMA,AL,DALE,01045,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10593.0,15806.0,20191203,TOTAL
2000,ALABAMA,AL,DALLAS,01047,PRESIDENT,AL GORE,DEMOCRAT,10967.0,18464.0,20191203,TOTAL
2000,ALABAMA,AL,DEKALB,01049,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12827.0,20285.0,20191203,TOTAL
2000,ALABAMA,AL,ELMORE,01051,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16777.0,23804.0,20191203,TOTAL
2000,ALABAMA,AL,ESCAMBIA,01053,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6975.0,11660.0,20191203,TOTAL
2000,ALABAMA,AL,ETOWAH,01055,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,21087.0,39348.0,20191203,TOTAL
2000,ALABAMA,AL,FAYETTE,01057,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4582.0,7808.0,20191203,TOTAL
2000,ALABAMA,AL,FRANKLIN,01059,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6119.0,11103.0,20191203,TOTAL
2000,ALABAMA,AL,GENEVA,01061,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6588.0,9559.0,20191203,TOTAL
2000,ALABAMA,AL,GREENE,01063,PRESIDENT,AL GORE,DEMOCRAT,3504.0,4396.0,20191203,TOTAL
2000,ALABAMA,AL,HALE,01065,PRESIDENT,AL GORE,DEMOCRAT,4652.0,7731.0,20191203,TOTAL
2000,ALABAMA,AL,HENRY,01067,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4054.0,6932.0,20191203,TOTAL
2000,ALABAMA,AL,HOUSTON,01069,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22150.0,32057.0,20191203,TOTAL
2000,ALABAMA,AL,JACKSON,01071,PRESIDENT,AL GORE,DEMOCRAT,9066.0,17906.0,20191203,TOTAL
2000,ALABAMA,AL,JEFFERSON,01073,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,138491.0,273763.0,20191203,TOTAL
2000,ALABAMA,AL,LAMAR,01075,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4470.0,7249.0,20191203,TOTAL
2000,ALABAMA,AL,LAUDERDALE,01077,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17478.0,32137.0,20191203,TOTAL
2000,ALABAMA,AL,LAWRENCE,01079,PRESIDENT,AL GORE,DEMOCRAT,6296.0,12185.0,20191203,TOTAL
2000,ALABAMA,AL,LEE,01081,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,22433.0,38264.0,20191203,TOTAL
