"year","disaster_id","disaster_type","state","county_id","dc_id","aid","population","pcnt_white","med_income","dem_rep"
2010,1,"Hurricane","Louisiana",1,"1-1",373.352752928622,24096.8485083431,0.702587318141013,69170.1892355923,0
2010,1,"Hurricane","Louisiana",2,"1-2",701.184722990729,17067.7466727793,0.331980043323711,63823.1404649559,0
2010,1,"Hurricane","Texas",3,"1-3",326.642587943934,1502.61835381389,0.376710293581709,68930.6516258512,0
2010,1,"Hurricane","Texas",4,"1-4",609.150542295538,7204.72218468785,0.841865570517257,73346.5270954184,0
2010,1,"Hurricane","California",5,"1-5",473.584186821245,21562.1487293392,0.738859650446102,71722.8900582995,0
2011,2,"Hurricane","Louisiana",1,"2-1",208.267733594403,3985.6662414968,0.699037475511432,29742.7792102098,0
2011,2,"Hurricane","Louisiana",2,"2-2",465.299695613794,14634.8501592875,0.919847859302536,98509.0941539966,0
2011,2,"Hurricane","Texas",3,"2-3",252.491295104846,14299.4514722377,0.614428712753579,55942.8029228002,0
2011,2,"Hurricane","Texas",4,"2-4",534.576642489992,18210.2879229933,0.515135932713747,82215.4063556809,0
2011,2,"Hurricane","California",5,"2-5",829.848223505542,11397.5539486855,0.40005307411775,63091.4971465245,0
2011,3,"Fire","Louisiana",1,"3-1",306.20221903082,18185.3134892881,0.322179265320301,28909.9294575863,0
2011,3,"Fire","Louisiana",2,"3-2",338.178378110752,15091.2345610559,0.8166462124791,93839.7964346223,0
2011,3,"Fire","Texas",3,"3-3",961.044827778824,19721.2768550962,0.238520564278588,37658.7035716511,0
2011,3,"Fire","Texas",4,"3-4",986.71118193306,4200.93189366162,0.105658412678167,93095.7292672247,0
2011,3,"Fire","California",5,"3-5",195.939472620375,13631.055418402,0.132125593256205,73194.2062964663,0
2011,4,"Earthquake","Louisiana",1,"4-1",179.294210067019,5245.90252153575,0.609281813492998,99331.5282743424,1
2011,4,"Earthquake","Louisiana",2,"4-2",964.544805651531,22065.8767689019,0.948188802460209,92509.284731932,1
2011,4,"Earthquake","Texas",3,"4-3",204.062512237579,13184.2171046883,0.210297958226874,29102.9617888853,1
2011,4,"Earthquake","Texas",4,"4-4",663.042776007205,4342.34912879765,0.851647889707237,81697.2259955946,1
2011,4,"Earthquake","California",5,"4-5",568.719534855336,23588.2456656545,0.826070096343756,30393.1503382046,1
2012,5,"Earthquake","Louisiana",1,"5-1",959.459550259635,1685.13801135123,0.405738654313609,87539.134034887,1
2012,5,"Earthquake","Louisiana",2,"5-2",717.528895428404,8591.47002734244,0.11257350537926,48969.1817725543,1
2012,5,"Earthquake","Texas",3,"5-3",759.194145025685,3468.64914707839,0.390675679082051,49603.0789334327,1
2012,5,"Earthquake","Texas",4,"5-4",994.857508153655,17436.7391895503,0.467330443905666,39995.5143686384,1
2012,5,"Earthquake","California",5,"5-5",557.324841455556,4330.01476153731,0.370750183239579,49805.9483186807,1
