SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2017228N14314,2017,60,,,HARVEY,2017-08-16 06:00:00,DS,13.7,-45.8,25,1013,hurdat_atl,main,1209,1157,O_____________,hurdat_atl,AL092017,13.7000,-45.8000, ,LO,25,1013,-3, , , , , , , , , , , , ,1013,150,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,271
2017228N14314,2017,60,,,HARVEY,2017-08-16 09:00:00,DS,13.713,-46.5999, , , ,main,1157,1109,P_____________, ,AL092017,13.7130,-46.5999, ,LO,25,1011,-3, , , , , , , , , , , , ,1013,150,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,270
2017228N14314,2017,60,,,HARVEY,2017-08-16 12:00:00,DS,13.7,-47.4,25,1010,hurdat_atl,main,1109,1067,O_____________,hurdat_atl,AL092017,13.7000,-47.4000, ,LO,25,1010,-3, , , , , , , , , , , , ,1013,150,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,268
2017228N14314,2017,60,,,HARVEY,2017-08-16 15:00:00,DS,13.6497,-48.2001, , , ,main,1057,1018,P_____________, ,AL092017,13.6497,-48.2001, ,LO,25,1009,-3, , , , , , , , , , , , ,1013,150,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,266
2017228N14314,2017,60,,,HARVEY,2017-08-16 18:00:00,DS,13.6,-49.0,25,1009,hurdat_atl,main,1018,986,O_____________,hurdat_atl,AL092017,13.6000,-49.0000, ,LO,25,1009,-3, , , , , , , , , , , , ,1013,150,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,268
2017228N14314,2017,60,,,HARVEY,2017-08-16 21:00:00,DS,13.6074,-49.8148, , , ,main,986,948,P_____________, ,AL092017,13.6074,-49.8148, ,LO,25,1009,-3, , , , , , , , , , , , ,1012,135,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,270
2017228N14314,2017,60,,,HARVEY,2017-08-17 00:00:00,DS,13.6,-50.6,25,1010,hurdat_atl,main,948,908,O_____________,hurdat_atl,AL092017,13.6000,-50.6000, ,LO,25,1010,-3, , , , , , , , , , , , ,1012,120,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,267
2017228N14314,2017,60,,,HARVEY,2017-08-17 03:00:00,DS,13.5222,-51.315, , , ,main,908,874,P_____________, ,AL092017,13.5222,-51.3150, ,LO,25,1009,-3, , , , , , , , , , , , ,1012,120,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,262
2017228N14314,2017,60,,,HARVEY,2017-08-17 06:00:00,TS,13.4,-52.0,25,1008,hurdat_atl,main,874,847,O_____________,hurdat_atl,AL092017,13.4000,-52.0000, ,TD,25,1008,-1, , , , , , , , , , , , ,1012,120,70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,258
2017228N14314,2017,60,,,HARVEY,2017-08-17 09:00:00,TS,13.2422,-52.6851, , , ,main,834,811,P_____________, ,AL092017,13.2422,-52.6851, ,TD,27,1008,-1, , , , , , , , , , , , ,1012,120,70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,258
